WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

Ruby Ash Ice Staff,Legendary,Kvatch Gladiator,Ancient Orc,45, Reaper's March: Rawl'kha , Handelsgilde ,10000,12,833.7555555555556
Ruby Ash Ice Staff,Epic,Song of Lamae,Worm Cult,8, Greenshade: Greenheart , Boutique du Lion Rouge ,3000,13,814.875
Ruby Ash Inferno Staff,Epic,Kvatch Gladiator,Telvanni,6, The Gold Coast: Kvatch , Valinor Traders ,1800,15,886.5
Ruby Ash Lightning Staff,Epic,Song of Lamae,Ebonshadow,6, Grahtwood: Elden Root , Skywatch Club ,3000,15,1086.5
Ruby Ash Lightning Staff,Epic,Song of Lamae,Morag Tong,6, The Gold Coast: Kvatch , Dragonborn Z ,1903,16,903.6666666666666
Ruby Ash Ice Staff,Epic,Ashen Grip,Ancient Elf,5, Grahtwood: Elden Root , The Trading Union ,1000,16,903.8
Ruby Ash Bow,Epic,Song of Lamae,Daggerfall Covenant,47, Hew's Bane: Thieves Den , Meister der Münze ,16920,17,434.8723404255319
Ruby Ash Inferno Staff,Epic,Kvatch Gladiator,DarkElf,5, Hew's Bane: Thieves Den , Meister der Münze ,2155,17,1134.8
Ruby Ash Ice Staff,Epic,Ashen Grip,Thieves Guild,5, Hew's Bane: Thieves Den , Meister der Münze ,1400,17,983.8
Ruby Ash Inferno Staff,Epic,Hist Bark,Khajiit,5, Deshaan: Mournhold , PerfectHeroes Trade ,1394,27,982.6
Ruby Ash Lightning Staff,Epic,Song of Lamae,Ancient Orc,5, Rivenspire: Shornhelm , Caveat Emptor ,3500,34,1403.8
Ruby Ash Ice Staff,Epic,Hist Bark,Glass,6, Rivenspire: Shornhelm , Caveat Emptor ,2000,35,919.8333333333334
Ruby Ash Bow,Epic,Hist Bark,Bloodforge,6, Wrothgar: Orsinium , Gefolgschaft des Orks ,2199,41,953.0
WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

Ancestor Silk Robe,Legendary,Hist Bark,Akaviri,83, Auridon: Skywatch , Crown of the Emperor ,18000,12,952.0240963855422
Ancestor Silk Gloves,Epic,Trial by Fire,Sapiarch,6, Auridon: Skywatch , The Tipsy Trader ,1600,13,436.3333333333333
Rubedo Leather Boots,Legendary,Kvatch Gladiator,Buoyant Armiger,79, Wrothgar: Orsinium , Hot Chic Boutique ,19750,13,1021.8860759493671
Rubedo Leather Guards,Legendary,Hist Bark,Buoyant Armiger,77, Reaper's March: Rawl'kha , Handelsgilde ,16666,18,1008.3766233766233
Ancestor Silk Gloves,Legendary,Song of Lamae,Trinimac,72, Reaper's March: Rawl'kha , Handelsgilde ,19995,19,1125.1805555555557
Rubedo Leather Guards,Legendary,Ashen Grip,Mercenary,67, Reaper's March: Rawl'kha , Handelsgilde ,17299,19,1168.3283582089553
Rubedo Leather Guards,Legendary,Hist Bark,Psijic Order,83, Bangkorai: Evermore , Beletors Gemischtwaren ,30000,22,1096.132530120482
Rubedo Leather Guards,Legendary,Song of Lamae,Apostle,79, Grahtwood: Elden Root , Sturm und Drang ,14220,22,951.8860759493671
Rubedo Leather Boots,Epic,Kvatch Gladiator,Hlaalu,6, Hew's Bane: Thieves Den , Meister der Münze ,2222,24,533.5
Ancestor Silk Shoes,Legendary,Kvatch Gladiator,Soul Shriven,72, Stonefalls: Davon's Watch , Zur Grinsekatze ,18000,25,1097.4722222222222
Rubedo Leather Bracers,Legendary,Trial by Fire,Psijic Order,122, The Rift: Riften , Die reisenden Haendler ,40000,31,827.6967213114754
Ancestor Silk Sash,Epic,Kvatch Gladiator,Ebonheart Pact,6, Reaper's March: Rawl'kha , Tamrizon ,1790,34,468.0
Ancestor Silk Gloves,Legendary,Trial by Fire,Soul Shriven,69, Alik'r Desert: Sentinel , Die Eiserne Bank ,29571,34,1312.8840579710145
Rubedo Leather Boots,Epic,Hist Bark,Apostle,6, Alik'r Desert: Sentinel , Die Eiserne Bank ,3500,34,746.5
Rubedo Leather Guards,Epic,Hist Bark,Dwemer,5, Alik'r Desert: Sentinel , Die Eiserne Bank ,25000,34,5195.8
Rubedo Leather Boots,Epic,Song of Lamae,Hlaalu,6, Alik'r Desert: Sentinel , Die Eiserne Bank ,2226,34,534.1666666666666
Rubedo Leather Belt,Epic,Trial by Fire,Psijic Order,6, Deshaan: Muth Gnaar Hills , Academy of Heroes ,3600,35,763.1666666666666
Ancestor Silk Shoes,Legendary,Song of Lamae,Nord,66, Alik'r Desert: Sentinel , Dark Shadow Trading ,23757,37,1284.469696969697
Ancestor Silk Gloves,Epic,Song of Lamae,Malacath,5, Alik'r Desert: Sentinel , GILDE FÜR ALLES ,3000,39,803.6
Ancestor Silk Robe,Epic,Hist Bark,DarkElf,5, Alik'r Desert: Sentinel , GILDE FÜR ALLES ,3000,39,803.6
Ancestor Silk Shoes,Legendary,Hist Bark,Skinchanger,70, Alik'r Desert: Sentinel , GILDE FÜR ALLES ,17458,39,1121.0857142857142
Ancestor Silk Shoes,Legendary,Ashen Grip,Sapiarch,79, Alik'r Desert: Sentinel , Forsaken Guardians ,39500,41,1272.379746835443
Rubedo Leather Boots,Legendary,Kvatch Gladiator,Hollowjack,79, Alik'r Desert: Sentinel , Nexus Trading ,21500,42,1044.0379746835442
Rubedo Leather Boots,Legendary,Kvatch Gladiator,Hollowjack,79, Alik'r Desert: Sentinel , Nexus Trading ,21500,42,1044.0379746835442
Rubedo Leather Guards,Legendary,Song of Lamae,Dwemer,72, Alik'r Desert: Sentinel , Nexus Trading ,16200,42,1071.9305555555557
Rubedo Leather Guards,Legendary,Song of Lamae,Dwemer,72, Alik'r Desert: Sentinel , Nexus Trading ,16200,42,1071.9305555555557
WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

Rubedite Greaves,Legendary,Song of Lamae,Bloodforge,93, Deshaan: Mournhold , PerfectHeroes Trade ,2626688,5,28734.37634408602
Rubedite Greaves,Legendary,Trial by Fire,Ashlander,89, Deshaan: Mournhold , TTM Overflow ,33999,7,894.4719101123595
Rubedite Girdle,Epic,Hist Bark,Telvanni,6, Bangkorai: Evermore , Hammerfell Trading ,2800,20,734.8333333333334
Rubedite Sword,Legendary,Ashen Grip,Ancient Orc,76, Bangkorai: Evermore , Hammerfell Trading ,30000,20,994.8552631578947
Rubedite Girdle,Epic,Trial by Fire,Nord,5, Greenshade: Greenheart , Boutique du Lion Rouge ,7000,20,1721.8
Rubedite Greatsword,Legendary,Song of Lamae,Redoran,93, Reaper's March: Rawl'kha , Handelsgilde ,23333,20,741.3118279569892
Rubedite Greatsword,Legendary,Ashen Grip,Skinchanger,79, The Gold Coast: Kvatch , Valinor Traders ,17775,23,802.3291139240506
Rubedite Sabatons,Epic,Hist Bark,Hlaalu,6, The Gold Coast: Kvatch , Valinor Traders ,1800,24,568.1666666666666
Rubedite Sabatons,Epic,Kvatch Gladiator,Celestial,6, Deshaan: Mournhold , Daggerfall Traders Guild ,1500,26,518.1666666666666
Rubedite Girdle,Legendary,Song of Lamae,Sapiarch,101, Stonefalls: Davon's Watch , Zur Grinsekatze ,31591,27,764.3564356435644
Rubedite Gauntlets,Legendary,Ashen Grip,Ashlander,87, Stonefalls: Davon's Watch , Zur Grinsekatze ,33872,27,913.5747126436781
Rubedite Sabatons,Epic,Trial by Fire,Soul Shriven,5, Deshaan: Mournhold , PerfectHeroes Trade ,1250,27,571.8
Rubedite Girdle,Legendary,Song of Lamae,Skinchanger,86, Bangkorai: Bangkorai Pass , Hanse Kontor ,33540,27,920.3372093023256
Rubedite Greaves,Epic,Ashen Grip,Yokudan,6, Alik'r Desert: Sentinel , Die Eiserne Bank ,5000,36,1101.5
Rubedite Greatsword,Legendary,Ashen Grip,Trinimac,79, Alik'r Desert: Sentinel , Die Eiserne Bank ,18000,36,805.1772151898734
Rubedite Girdle,Epic,Ashen Grip,Daggerfall Covenant,5, Deshaan: Muth Gnaar Hills , Academy of Heroes ,3334,37,988.6
Rubedite Dagger,Epic,Trial by Fire,Sapiarch,6, Craglorn: Belkarth , Tamriel Traders Guild ,2000,37,601.5
Rubedite Sabatons,Epic,Kvatch Gladiator,Silken Ring,6, Alik'r Desert: Sentinel , Dark Shadow Trading ,3999,38,934.6666666666666
Rubedite Dagger,Epic,Kvatch Gladiator,Silken Ring,6, Alik'r Desert: Sentinel , Dark Shadow Trading ,3999,38,934.6666666666666
Rubedite Dagger,Epic,Kvatch Gladiator,Silken Ring,6, Alik'r Desert: Sentinel , Dark Shadow Trading ,3999,38,934.6666666666666
Rubedite Dagger,Epic,Kvatch Gladiator,Silken Ring,6, Alik'r Desert: Sentinel , Dark Shadow Trading ,3999,38,934.6666666666666
Rubedite Dagger,Epic,Kvatch Gladiator,Silken Ring,6, Alik'r Desert: Sentinel , Dark Shadow Trading ,3999,38,934.6666666666666
Rubedite Sabatons,Legendary,Ashen Grip,Outlaw,79, Craglorn: Belkarth , Aetherius Trade ,20000,40,830.493670886076
WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
Title,Quality,Set,Style,Vouchers,Place,Trader,Price,Time,Price per voucher

WoodWork
